# Übersetzungstabelle des Spiels.
# Format:  "<deutscher Quelltext>","<englisch>","<spanisch>","<französisch>"
# Deutsch ist die Quellsprache (= Fallback) und steht direkt im Code – darum gibt es
# hier nur die Zielsprachen en/es/fr. Geladen zur Laufzeit von scripts/Localization.gd.
# Fehlt eine es/fr-Zelle, greift automatisch der Fallback (Englisch).
# Zeilen, die mit # beginnen, sind Kommentare. \n im Text = Zeilenumbruch.
key,en,es,fr
"Kein Platz für Steilwandkurve (2 freie Felder nebeneinander nötig)","No room for a banked curve (2 free tiles side by side needed)","No hay espacio para una curva peraltada (se necesitan 2 casillas libres contiguas)","Pas de place pour un virage relevé (2 cases libres côte à côte nécessaires)"
"Keine gültige Position für Rampen-Drehung","No valid position to rotate the ramp","No hay posición válida para girar la rampa","Aucune position valide pour pivoter la rampe"
"Keine gültige Position für Steilwandkurven-Drehung","No valid position to rotate the banked curve","No hay posición válida para girar la curva peraltada","Aucune position valide pour pivoter le virage relevé"

# ── Streckenteile (Palette) ───────────────────────────────────────────────────
"Streckenbauer","Track builder","Constructor de pistas","Constructeur de circuit"
"Streckenteile","Track parts","Piezas de pista","Pièces de circuit"
"STRECKENTEILE","TRACK PARTS","PIEZAS DE PISTA","PIÈCES DE CIRCUIT"
"Bonusfelder","Bonus tiles","Casillas de bonificación","Cases bonus"
"Baufeld","Build grid","Cuadrícula","Grille de construction"
"Gerade","Straight","Recta","Ligne droite"
"Kurve","Curve","Curva","Virage"
"Kurve 2","Curve 2","Curva 2","Virage 2"
"Erd-Gerade","Dirt straight","Recta de tierra","Ligne droite en terre"
"Erd-Kurve","Dirt curve","Curva de tierra","Virage en terre"
"Eisgerade","Ice straight","Recta de hielo","Ligne droite de glace"
"Eiskurve","Ice curve","Curva de hielo","Virage de glace"
"Straßen-Gerade","Road straight","Recta de asfalto","Ligne droite de route"
"Straßen-Kurve","Road curve","Curva de asfalto","Virage de route"
"Rennstrecke","Racing straight","Recta de carreras","Ligne droite de course"
"Rennkurve","Racing curve","Curva de carreras","Virage de course"
"Rampe","Ramp","Rampa","Rampe"
"Rampe (Ende)","Ramp (end)","Rampa (fin)","Rampe (fin)"
"Portal","Portal","Portal","Portail"
"Start-Tile","Start tile","Casilla de salida","Case de départ"
"Noch kein Effekt","No effect yet","Aún sin efecto","Pas encore d'effet"
"Steilwandkurve","Banked curve","Curva peraltada","Virage relevé"
"Steilwandkurve (Ende)","Banked curve (end)","Curva peraltada (fin)","Virage relevé (fin)"
"Looping","Loop","Rizo","Looping"
"Tribüne","Grandstand","Tribuna","Tribune"
"Boost-Feld","Boost tile","Casilla de impulso","Case de boost"

# ── Werkstatt / Auto-Konfiguration ────────────────────────────────────────────
"Form","Shape","Forma","Forme"
"Lackierung","Paint","Pintura","Peinture"
"Fähigkeit","Ability","Habilidad","Capacité"
"Bald verfügbar","Coming soon","Próximamente","Bientôt disponible"
"BALD","SOON","PRONTO","BIENTÔT"
"VORSCHAU FOLGT","PREVIEW COMING","VISTA PREVIA PRÓXIMA","APERÇU À VENIR"
"Ziehen…","Drag…","Arrastrar…","Glisser…"
"Blau","Blue","Azul","Bleu"
"Gelb","Yellow","Amarillo","Jaune"
"Grün","Green","Verde","Vert"
"Weiß","White","Blanco","Blanc"
"Speed-Boost · kein Geld","Speed boost · no money","Impulso de velocidad · sin dinero","Boost de vitesse · pas d'argent"
"+15 Ertrag","+15 yield","+15 de ganancia","+15 de gain"

# ── Shop / Upgrades (Namen) ───────────────────────────────────────────────────
"Upgrades","Upgrades","Mejoras","Améliorations"
"UPGRADES","UPGRADES","MEJORAS","AMÉLIORATIONS"
"Wirtschaft","Economy","Economía","Économie"
"Geraden-Ertrag (+ je Gerade)","Straight yield (+ per straight)","Ganancia de rectas (+ por recta)","Gain des lignes droites (+ par ligne droite)"
"Kurven-Ertrag (+ je Kurve)","Curve yield (+ per curve)","Ganancia de curvas (+ por curva)","Gain des virages (+ par virage)"
"Erd-Geraden-Ertrag (+ je Feld)","Dirt straight yield (+ per tile)","Ganancia de recta de tierra (+ por casilla)","Gain ligne droite en terre (+ par case)"
"Erd-Kurven-Ertrag (+ je Feld)","Dirt curve yield (+ per tile)","Ganancia de curva de tierra (+ por casilla)","Gain virage en terre (+ par case)"
"Rennstrecken-Ertrag (+ je Gerade)","Racing straight yield (+ per straight)","Ganancia de recta de carreras (+ por recta)","Gain ligne droite de course (+ par ligne droite)"
"Rennkurven-Ertrag (+ je Kurve)","Racing curve yield (+ per curve)","Ganancia de curva de carreras (+ por curva)","Gain virage de course (+ par virage)"
"Rampen-Ertrag (+ je Rampe)","Ramp yield (+ per ramp)","Ganancia de rampa (+ por rampa)","Gain de rampe (+ par rampe)"
"Portal-Ertrag (+ je Durchgang)","Portal yield (+ per pass)","Ganancia de portal (+ por paso)","Gain de portail (+ par passage)"
"+5-Feld","+5 tile","Casilla +5","Case +5"
"+10-Feld","+10 tile","Casilla +10","Case +10"
"×1.5-Felder","×1.5 tiles","Casillas ×1.5","Cases ×1.5"
"Tile-Bonus","Tile bonus","Bono de casilla","Bonus de case"
"End-Multiplikator","Final multiplier","Multiplicador final","Multiplicateur final"
"Eisgeraden-Boost (Speed je Feld)","Ice straight boost (speed per tile)","Impulso de recta de hielo (velocidad por casilla)","Boost ligne droite de glace (vitesse par case)"
"Steilwandkurven-Boost (Geld + Speed)","Banked curve boost (money + speed)","Impulso de curva peraltada (dinero + velocidad)","Boost virage relevé (argent + vitesse)"
"Tribünen-Multiplikator (×)","Grandstand multiplier (×)","Multiplicador de tribuna (×)","Multiplicateur de tribune (×)"
"Looping-Multiplikator (×)","Loop multiplier (×)","Multiplicador de rizo (×)","Multiplicateur de looping (×)"
"End-Multiplikator (alle Autos)","Final multiplier (all cars)","Multiplicador final (todos los coches)","Multiplicateur final (toutes les voitures)"
"Tile-Bonus (+ je Feld, alle Autos)","Tile bonus (+ per tile, all cars)","Bono de casilla (+ por casilla, todos los coches)","Bonus de case (+ par case, toutes les voitures)"
"Tempo (alle Autos)","Speed (all cars)","Velocidad (todos los coches)","Vitesse (toutes les voitures)"
"Geschwindigkeits-Bonus","Speed bonus","Bono de velocidad","Bonus de vitesse"
"Zusätzliches Auto","Additional car","Coche adicional","Voiture supplémentaire"
"Extra-Auto","Extra car","Coche extra","Voiture en plus"
"Extra-Strecke","Extra track","Pista extra","Circuit en plus"
"Gratis-Straßen","Free roads","Carreteras gratis","Routes gratuites"
"Streckengröße","Track size","Tamaño de pista","Taille du circuit"
"Autos pro Strecke","Cars per track","Coches por pista","Voitures par circuit"
"Im Shop freischalten","Unlock in shop","Desbloquear en la tienda","Débloquer dans la boutique"
"Vergrößert das Baufeld aller Strecken.","Enlarges the build grid of all tracks.","Amplía la cuadrícula de todas las pistas.","Agrandit la grille de tous les circuits."
"Je Stufe ein dauerhaft zusätzliches Auto.","One permanent additional car per level.","Un coche adicional permanente por nivel.","Une voiture supplémentaire permanente par niveau."
"Je Stufe 2 Geraden und 4 Kurven gratis platzierbar, bevor sie etwas kosten.","Per level, 2 straights and 4 curves can be placed for free before they cost anything.","Por nivel, 2 rectas y 4 curvas se pueden colocar gratis antes de que cuesten algo.","Par niveau, 2 lignes droites et 4 virages peuvent être placés gratuitement avant de coûter quelque chose."
"Freigeschaltete Streckenteile bleiben nach dem Prestige gratis (keine Freischalt-Gebühr mehr).","Unlocked track parts stay free after prestige (no more unlock fee).","Las piezas desbloqueadas siguen siendo gratis tras el prestigio (sin más cuota de desbloqueo).","Les pièces débloquées restent gratuites après le prestige (plus de frais de déblocage)."

# ── Errungenschaften ──────────────────────────────────────────────────────────
"Errungenschaften","Achievements","Logros","Succès"
"ERRUNGENSCHAFTEN","ACHIEVEMENTS","LOGROS","SUCCÈS"
"Erster Start","First start","Primer arranque","Premier départ"
"Starte dein allererstes Rennen.","Start your very first race.","Inicia tu primera carrera.","Lance ta toute première course."
"Platziere zum ersten Mal eine Straße (Gerade oder Kurve).","Place a road for the first time (straight or curve).","Coloca una carretera por primera vez (recta o curva).","Place une route pour la première fois (ligne droite ou virage)."
"Eiszeit","Ice age","Edad de hielo","Âge de glace"
"Platziere zum ersten Mal eine Eisgerade.","Place an ice straight for the first time.","Coloca una recta de hielo por primera vez.","Place une ligne droite de glace pour la première fois."
"Abheben","Lift-off","Despegue","Décollage"
"Platziere zum ersten Mal eine Rampe.","Place a ramp for the first time.","Coloca una rampa por primera vez.","Place une rampe pour la première fois."
"Steile Sache","Steep stuff","Cosa empinada","Sacré dénivelé"
"Platziere zum ersten Mal eine Steilwandkurve.","Place a banked curve for the first time.","Coloca una curva peraltada por primera vez.","Place un virage relevé pour la première fois."
"Platziere zum ersten Mal ein Looping.","Place a loop for the first time.","Coloca un rizo por primera vez.","Place un looping pour la première fois."
"Portalspringer","Portal jumper","Saltador de portales","Sauteur de portail"
"Platziere zum ersten Mal ein Portal.","Place a portal for the first time.","Coloca un portal por primera vez.","Place un portail pour la première fois."
"Volle Tribüne","Full grandstand","Tribuna llena","Tribune comble"
"Platziere zum ersten Mal eine Tribüne.","Place a grandstand for the first time.","Coloca una tribuna por primera vez.","Place une tribune pour la première fois."
"Ausverkauft","Sold out","Agotado","Complet"
"Staple eine Tribüne auf die maximale Stufe (5×).","Stack a grandstand to the maximum level (5×).","Apila una tribuna hasta el nivel máximo (5×).","Empile une tribune au niveau maximum (5×)."
"Erste Einnahmen","First earnings","Primeras ganancias","Premiers gains"
"Verdiene 1.000 mit EINEM Auto in einer Runde (Start bis Start).","Earn 1,000 with ONE car in a single lap (start to start).","Gana 1000 con UN coche en una sola vuelta (de salida a salida).","Gagne 1 000 avec UNE voiture en un seul tour (départ à départ)."
"Gute Runde","Good lap","Buena vuelta","Bon tour"
"Verdiene 100.000 mit EINEM Auto in einer Runde.","Earn 100,000 with ONE car in a single lap.","Gana 100 000 con UN coche en una sola vuelta.","Gagne 100 000 avec UNE voiture en un seul tour."
"Spitzenrunde","Top lap","Vuelta de élite","Tour d'élite"
"Verdiene 1.000.000 mit EINEM Auto in einer Runde.","Earn 1,000,000 with ONE car in a single lap.","Gana 1 000 000 con UN coche en una sola vuelta.","Gagne 1 000 000 avec UNE voiture en un seul tour."
"Traumrunde","Dream lap","Vuelta de ensueño","Tour de rêve"
"Verdiene 1.000.000.000 mit EINEM Auto in einer Runde.","Earn 1,000,000,000 with ONE car in a single lap.","Gana 1 000 000 000 con UN coche en una sola vuelta.","Gagne 1 000 000 000 avec UNE voiture en un seul tour."
"Erstes Vermögen","First fortune","Primera fortuna","Première fortune"
"Besitze 100.000 Währung.","Own 100,000 currency.","Posee 100 000 de moneda.","Possède 100 000 de monnaie."
"Millionär","Millionaire","Millonario","Millionnaire"
"Besitze 1.000.000 Währung.","Own 1,000,000 currency.","Posee 1 000 000 de moneda.","Possède 1 000 000 de monnaie."
"Milliardär","Billionaire","Multimillonario","Milliardaire"
"Besitze 1.000.000.000 Währung.","Own 1,000,000,000 currency.","Posee 1 000 000 000 de moneda.","Possède 1 000 000 000 de monnaie."
"Billionär","Trillionaire","Billonario","Billionnaire"
"Besitze 1.000.000.000.000 Währung.","Own 1,000,000,000,000 currency.","Posee 1 000 000 000 000 de moneda.","Possède 1 000 000 000 000 de monnaie."
"Werkstatt-Profi","Workshop pro","Profesional del taller","Pro de l'atelier"
"Werte dein Auto zum ersten Mal in der Werkstatt auf.","Upgrade your car in the workshop for the first time.","Mejora tu coche en el taller por primera vez.","Améliore ta voiture à l'atelier pour la première fois."
"Neuanfang","Fresh start","Nuevo comienzo","Nouveau départ"
"Führe dein erstes Prestige durch.","Perform your first prestige.","Realiza tu primer prestigio.","Effectue ton premier prestige."
"Wiedergeboren","Reborn","Renacido","Renaissance"
"Führe 5 Prestiges durch.","Perform 5 prestiges.","Realiza 5 prestigios.","Effectue 5 prestiges."
"Aufgestiegen","Ascended","Ascendido","Ascension"
"Führe 10 Prestiges durch.","Perform 10 prestiges.","Realiza 10 prestigios.","Effectue 10 prestiges."
"Sternensammler","Star collector","Coleccionista de estrellas","Collectionneur d'étoiles"
"Besitze 10 Prestige-Punkte.","Own 10 prestige points.","Posee 10 puntos de prestigio.","Possède 10 points de prestige."
"Sternenhaufen","Star cluster","Cúmulo de estrellas","Amas d'étoiles"
"Besitze 100 Prestige-Punkte.","Own 100 prestige points.","Posee 100 puntos de prestigio.","Possède 100 points de prestige."
"Galaxie","Galaxy","Galaxia","Galaxie"
"Besitze 1.000 Prestige-Punkte.","Own 1,000 prestige points.","Posee 1000 puntos de prestigio.","Possède 1 000 points de prestige."
"Neue Strecke","New track","Pista nueva","Nouveau circuit"
"Schalte Strecke 2 frei.","Unlock track 2.","Desbloquea la pista 2.","Débloque le circuit 2."
"Streckensammler","Track collector","Coleccionista de pistas","Collectionneur de circuits"
"Schalte Strecke 3 frei.","Unlock track 3.","Desbloquea la pista 3.","Débloque le circuit 3."
" freigeschaltet"," unlocked"," desbloqueado"," débloqué"
" Freigeschaltet"," Unlocked"," Desbloqueado"," Débloqué"
" aktiv"," active"," activo"," actif"

# ── Statistik ─────────────────────────────────────────────────────────────────
"Globale Statistiken","Global statistics","Estadísticas globales","Statistiques globales"
"Spielzeit","Playtime","Tiempo de juego","Temps de jeu"
"Fahrzeit","Drive time","Tiempo de conducción","Temps de conduite"
"Fahrtdauer pro Runde","Lap duration","Duración de la vuelta","Durée du tour"
"Laufende Runden-Erträge","Ongoing lap earnings","Ganancias de la vuelta en curso","Gains du tour en cours"
"Tempo","Speed","Velocidad","Vitesse"
"Keine","None","Ninguno","Aucun"
"von → zu","from → to","de → a","de → à"

# ── Prestige ──────────────────────────────────────────────────────────────────
"  Prestige","  Prestige","  Prestigio","  Prestige"
"  Noch zu früh für Prestige","  Too early for prestige","  Aún es pronto para el prestigio","  Encore trop tôt pour le prestige"
"Prestige","Prestige","Prestigio","Prestige"
"PRESTIGE","PRESTIGE","PRESTIGIO","PRESTIGE"
"Verdient seit Prestige","Earned since prestige","Ganado desde el prestigio","Gagné depuis le prestige"
"Aktuelles Guthaben","Current balance","Saldo actual","Solde actuel"
"Freigeschaltete Strecken","Unlocked tracks","Pistas desbloqueadas","Circuits débloqués"
"Unlocks behalten","Keep unlocks","Conservar desbloqueos","Conserver les déblocages"

# ── Shop-Hinweise (Tooltips) — Schlüssel = deutscher Quelltext aus scripts/Lang.gd ─
